,S,dissapearing_attractor,tipping_time
0,7.5,w,0.30000000000000004
0,7.5,w,5.4999999999999964
0,7.5,w,21.300000000000033
0,7.5,w,15.199999999999962
0,7.5,w,30.100000000000158
0,7.5,w,10.799999999999978
0,7.5,w,0.7
0,7.5,w,3.600000000000002
0,7.5,w,0.2
0,7.5,w,0.2
0,7.5,w,9.799999999999981
0,7.5,w,40.2000000000003
0,7.5,w,0.4
0,7.5,w,28.90000000000014
0,7.5,w,2.400000000000001
0,7.5,w,10.999999999999977
0,7.5,w,3.600000000000002
0,7.5,w,0.1
0,7.5,w,0.1
0,7.5,w,0.1
0,7.5,w,1.7000000000000004
0,7.5,w,0.7
0,7.5,w,6.8999999999999915
0,7.5,w,18.29999999999999
0,7.5,w,0.30000000000000004
0,7.5,w,14.999999999999963
0,7.5,w,18.499999999999993
0,7.5,w,0.30000000000000004
0,7.5,w,1.5000000000000002
0,7.5,w,0.6
0,7.5,w,16.29999999999996
0,7.5,w,0.2
0,7.5,w,7.39999999999999
0,7.5,w,0.5
0,7.5,w,0.1
0,7.5,w,0.8999999999999999
0,7.5,w,0.1
0,7.5,w,25.800000000000097
0,7.5,w,0.2
0,7.5,w,0.2
0,7.5,w,17.399999999999977
0,7.5,w,1.9000000000000006
0,7.5,w,0.4
0,7.5,w,13.599999999999968
0,7.5,w,11.399999999999975
0,7.5,w,0.2
0,7.5,w,9.599999999999982
0,7.5,w,30.90000000000017
0,7.5,w,0.1
0,7.5,w,0.2
0,7.5,w,17.099999999999973
0,7.5,w,0.1
0,7.5,w,12.199999999999973
0,7.5,w,0.30000000000000004
0,7.5,w,24.800000000000082
0,7.5,w,0.4
0,7.5,w,13.799999999999967
0,7.5,w,24.200000000000074
0,7.5,w,4.100000000000001
0,7.5,w,0.5
0,7.5,w,0.4
0,7.5,w,2.400000000000001
0,7.5,w,7.999999999999988
0,7.5,w,0.5
0,7.5,w,1.0999999999999999
0,7.5,w,0.1
0,7.5,w,0.2
0,7.5,w,0.2
0,7.5,w,4.4
0,7.5,w,24.00000000000007
0,7.5,w,8.499999999999986
0,7.5,w,12.499999999999972
0,7.5,w,3.0000000000000013
0,7.5,w,19.300000000000004
0,7.5,w,0.5
0,7.5,w,0.1
0,7.5,w,0.30000000000000004
0,7.5,w,0.5
0,7.5,w,9.199999999999983
0,7.5,w,0.8999999999999999
0,7.5,w,11.199999999999976
0,7.5,w,0.30000000000000004
0,7.5,w,0.4
0,7.5,w,21.10000000000003
0,7.5,w,0.4
0,7.5,w,0.1
0,7.5,w,8.999999999999984
0,7.5,w,3.800000000000002
0,7.5,w,0.7
0,7.5,w,0.2
0,7.5,w,5.099999999999998
0,7.5,w,12.499999999999972
0,7.5,w,0.4
0,7.5,w,20.000000000000014
0,7.5,w,37.50000000000026
0,7.5,w,8.099999999999987
0,7.5,w,15.89999999999996
0,7.5,w,36.900000000000254
0,7.5,w,0.1
0,7.5,w,0.30000000000000004
0,7.5,w,0.2
0,7.5,w,0.2
0,7.5,w,6.799999999999992
0,7.5,w,8.599999999999985
0,7.5,w,0.30000000000000004
0,7.5,w,4.699999999999999
0,7.5,w,0.1
0,7.5,w,0.4
0,7.5,w,5.699999999999996
0,7.5,w,0.6
0,7.5,w,0.30000000000000004
0,7.5,w,22.800000000000054
0,7.5,w,13.799999999999967
0,7.5,w,10.799999999999978
0,7.5,w,0.2
0,7.5,w,16.399999999999963
0,7.5,w,19.300000000000004
0,7.5,w,9.099999999999984
0,7.5,w,20.200000000000017
0,7.5,w,4.899999999999999
0,7.5,w,6.499999999999993
0,7.5,w,8.899999999999984
0,7.5,w,0.2
0,7.5,w,29.800000000000153
0,7.5,w,2.500000000000001
0,7.5,w,0.1
0,7.5,w,6.799999999999992
0,7.5,w,47.90000000000041
0,7.5,w,10.899999999999977
0,7.5,w,19.1
0,7.5,w,6.799999999999992
0,7.5,w,9.99999999999998
0,7.5,w,5.1999999999999975
0,7.5,w,31.200000000000173
0,7.5,w,0.30000000000000004
0,7.5,w,0.2
0,7.5,w,0.30000000000000004
0,7.5,w,21.400000000000034
0,7.5,w,1.8000000000000005
0,7.5,w,0.6
0,7.5,w,3.3000000000000016
0,7.5,w,10.499999999999979
0,7.5,w,1.9000000000000006
0,7.5,w,8.199999999999987
0,7.5,w,19.200000000000003
0,7.5,w,12.199999999999973
0,7.5,w,0.1
0,7.5,w,14.399999999999965
0,7.5,w,0.2
0,7.5,w,16.399999999999963
0,7.5,w,6.399999999999993
0,7.5,w,4.999999999999998
0,7.5,w,10.19999999999998
0,7.5,w,0.30000000000000004
0,7.5,w,0.1
0,7.5,w,8.499999999999986
0,7.5,w,0.1
0,7.5,w,21.400000000000034
0,7.5,w,0.1
0,7.5,w,0.4
0,7.5,w,1.7000000000000004
0,7.5,w,0.5
0,7.5,w,0.7
0,7.5,w,0.2
0,7.5,w,9.799999999999981
0,7.5,w,3.5000000000000018
0,7.5,w,6.499999999999993
0,7.5,w,11.399999999999975
0,7.5,w,0.30000000000000004
0,7.5,w,0.2
0,7.5,w,1.3
0,7.5,w,0.30000000000000004
0,7.5,w,0.30000000000000004
0,7.5,w,0.30000000000000004
0,7.5,w,4.100000000000001
0,7.5,w,24.100000000000072
0,7.5,w,0.2
0,7.5,w,8.599999999999985
0,7.5,w,9.299999999999983
0,7.5,w,13.999999999999966
0,7.5,w,11.499999999999975
0,7.5,w,25.600000000000094
0,7.5,w,0.2
0,7.5,w,5.399999999999997
0,7.5,w,0.30000000000000004
0,7.5,w,22.000000000000043
0,7.5,w,7.799999999999988
0,7.5,w,0.1
0,7.5,w,12.399999999999972
0,7.5,w,28.20000000000013
0,7.5,w,0.1
0,7.5,w,6.399999999999993
0,7.5,w,30.20000000000016
0,7.5,w,30.100000000000158
0,7.5,w,47.1000000000004
0,7.5,w,0.6
0,7.5,w,9.89999999999998
0,7.5,w,17.899999999999984
0,7.5,w,0.6
0,7.5,w,1.3
0,7.5,w,15.89999999999996
0,7.5,w,4.4
0,7.5,w,0.1
0,7.5,w,7.29999999999999
0,7.5,w,0.2
0,7.5,w,31.100000000000172
0,7.5,w,0.1
0,7.5,w,0.4
0,7.5,w,0.2
0,7.5,w,0.1
0,7.5,w,0.1
0,7.5,w,10.499999999999979
0,7.5,w,22.000000000000043
0,7.5,w,49.10000000000043
0,7.5,w,0.6
0,7.5,w,9.99999999999998
0,7.5,w,6.499999999999993
0,7.5,w,3.1000000000000014
0,7.5,w,0.4
0,7.5,w,0.5
0,7.5,w,0.4
0,7.5,w,13.899999999999967
0,7.5,w,0.1
0,7.5,w,0.6
0,7.5,w,13.399999999999968
0,7.5,w,19.70000000000001
0,7.5,w,26.80000000000011
0,7.5,w,30.000000000000156
0,7.5,w,14.399999999999965
0,7.5,w,0.7
0,7.5,w,0.7999999999999999
0,7.5,w,0.30000000000000004
0,7.5,w,11.599999999999975
0,7.5,w,16.09999999999996
0,7.5,w,26.300000000000104
0,7.5,w,16.29999999999996
0,7.5,w,0.30000000000000004
0,7.5,w,11.899999999999974
0,7.5,w,9.799999999999981
0,7.5,w,13.599999999999968
0,7.5,w,8.999999999999984
0,7.5,w,11.899999999999974
0,7.5,w,14.099999999999966
0,7.5,w,0.6
0,7.5,w,16.89999999999997
0,7.5,w,0.1
0,7.5,w,10.499999999999979
0,7.5,w,1.2
0,7.5,w,0.8999999999999999
0,7.5,w,10.899999999999977
0,7.5,w,0.4
0,7.5,w,8.899999999999984
0,7.5,w,0.2
0,7.5,w,0.1
0,7.5,w,0.5
0,7.5,w,0.6
0,7.5,w,0.2
0,7.5,w,13.09999999999997
0,7.5,w,0.7999999999999999
0,7.5,w,14.299999999999965
0,7.5,w,0.2
0,7.5,w,0.2
0,7.5,w,10.19999999999998
0,7.5,w,35.40000000000023
0,7.5,w,0.2
0,7.5,w,0.2
0,7.5,w,0.2
0,7.5,w,0.30000000000000004
0,7.5,w,0.1
0,7.5,w,0.4
0,7.5,w,0.2
0,7.5,w,28.500000000000135
0,7.5,w,11.199999999999976
0,7.5,w,11.399999999999975
0,7.5,w,11.799999999999974
0,7.5,w,5.4999999999999964
0,7.5,w,5.699999999999996
0,7.5,w,0.30000000000000004
0,7.5,w,0.5
0,7.5,w,14.499999999999964
0,7.5,w,0.1
0,7.5,w,0.2
0,7.5,w,8.599999999999985
0,7.5,w,16.79999999999997
0,7.5,w,0.4
0,7.5,w,0.30000000000000004
0,7.5,w,1.4000000000000001
0,7.5,w,0.8999999999999999
0,7.5,w,0.2
0,7.5,w,0.30000000000000004
0,7.5,w,0.4
0,7.5,w,0.1
0,7.5,w,14.199999999999966
0,7.5,w,33.80000000000021
0,7.5,w,0.2
0,7.5,w,0.2
0,7.5,w,63.90000000000064
0,7.5,w,0.30000000000000004
0,7.5,w,15.79999999999996
0,7.5,w,0.5
0,7.5,w,13.199999999999969
0,7.5,w,0.6
0,7.5,w,13.599999999999968
0,7.5,w,0.2
0,7.5,w,11.399999999999975
0,7.5,w,23.600000000000065
0,7.5,w,0.7999999999999999
0,7.5,w,1.8000000000000005
0,7.5,w,9.399999999999983
0,7.5,w,0.30000000000000004
0,7.5,w,22.800000000000054
0,7.5,w,31.900000000000183
0,7.5,w,2.1000000000000005
0,7.5,w,17.099999999999973
0,7.5,w,20.200000000000017
0,7.5,w,0.2
0,7.5,w,7.799999999999988
0,7.5,w,4.300000000000001
0,7.5,w,2.500000000000001
0,7.5,w,0.1
0,7.5,w,1.5000000000000002
0,7.5,w,13.299999999999969
0,7.5,w,0.6
0,7.5,w,0.1
0,7.5,w,0.4
0,7.5,w,9.299999999999983
0,7.5,w,20.200000000000017
0,7.5,w,0.5
0,7.5,w,7.899999999999988
0,7.5,w,15.69999999999996
0,7.5,w,12.499999999999972
0,7.5,w,7.599999999999989
0,7.5,w,6.5999999999999925
0,7.5,w,0.30000000000000004
0,7.5,w,0.2
0,7.5,w,0.5
0,7.5,w,4.100000000000001
0,7.5,w,8.099999999999987
0,7.5,w,0.7
0,7.5,w,0.1
0,7.5,w,0.2
0,7.5,w,0.1
0,7.5,w,0.6
0,7.5,w,0.30000000000000004
0,7.5,w,41.50000000000032
0,7.5,w,10.399999999999979
0,7.5,w,6.5999999999999925
0,7.5,w,0.2
0,7.5,w,3.800000000000002
0,7.5,w,0.8999999999999999
0,7.5,w,15.99999999999996
0,7.5,w,11.499999999999975
0,7.5,w,29.60000000000015
0,7.5,w,11.299999999999976
0,7.5,w,13.199999999999969
0,7.5,w,16.19999999999996
0,7.5,w,20.700000000000024
0,7.5,w,0.1
0,7.5,w,8.399999999999986
0,7.5,w,0.30000000000000004
0,7.5,w,0.7
0,7.5,w,0.2
0,7.5,w,7.19999999999999
0,7.5,w,1.3
0,7.5,w,9.199999999999983
0,7.5,w,17.49999999999998
0,7.5,w,0.2
0,7.5,w,9.399999999999983
0,7.5,w,7.599999999999989
0,7.5,w,8.099999999999987
0,7.5,w,8.199999999999987
0,7.5,w,15.89999999999996
0,7.5,w,0.30000000000000004
0,7.5,w,0.1
0,7.5,w,3.5000000000000018
0,7.5,w,20.40000000000002
0,7.5,w,8.099999999999987
0,7.5,w,0.30000000000000004
0,7.5,w,16.699999999999967
0,7.5,w,0.30000000000000004
0,7.5,w,18.599999999999994
0,7.5,w,0.1
0,7.5,w,0.2
0,7.5,w,0.2
0,7.5,w,38.80000000000028
0,7.5,w,0.4
0,7.5,w,5.799999999999995
0,7.5,w,48.10000000000041
0,7.5,w,28.10000000000013
0,7.5,w,0.1
0,7.5,w,9.499999999999982
0,7.5,w,0.6
0,7.5,w,0.4
0,7.5,w,0.30000000000000004
0,7.5,w,0.2
0,7.5,w,9.699999999999982
0,7.5,w,18.099999999999987
0,7.5,w,15.399999999999961
0,7.5,w,22.300000000000047
0,7.5,w,5.599999999999996
0,7.5,w,11.099999999999977
0,7.5,w,10.399999999999979
0,7.5,w,33.2000000000002
0,7.5,w,30.90000000000017
0,7.5,w,6.499999999999993
0,7.5,w,0.9999999999999999
0,7.5,w,0.2
0,7.5,w,0.7
0,7.5,w,26.600000000000108
0,7.5,w,9.599999999999982
0,7.5,w,0.30000000000000004
0,7.5,w,23.800000000000068
0,7.5,w,12.399999999999972
0,7.5,w,0.1
0,7.5,w,0.5
0,7.5,w,24.70000000000008
0,7.5,w,0.1
0,7.5,w,6.5999999999999925
0,7.5,w,0.4
0,7.5,w,3.2000000000000015
0,7.5,w,30.90000000000017
0,7.5,w,16.399999999999963
0,7.5,w,10.999999999999977
0,7.5,w,20.800000000000026
0,7.5,w,17.69999999999998
0,7.5,w,3.4000000000000017
0,7.5,w,0.2
0,7.5,w,12.499999999999972
0,7.5,w,0.2
0,7.5,w,23.700000000000067
0,7.5,w,0.1
0,7.5,w,0.1
0,7.5,w,0.2
0,7.5,w,0.1
0,7.5,w,0.2
0,7.5,w,5.899999999999995
0,7.5,w,0.1
0,7.5,w,6.8999999999999915
0,7.5,w,0.5
0,7.5,w,1.0999999999999999
0,7.5,w,2.700000000000001
0,7.5,w,2.9000000000000012
0,7.5,w,9.199999999999983
0,7.5,w,11.199999999999976
0,7.5,w,20.900000000000027
0,7.5,w,11.499999999999975
0,7.5,w,7.599999999999989
0,7.5,w,12.69999999999997
0,7.5,w,0.2
0,7.5,w,18.29999999999999
0,7.5,w,0.30000000000000004
0,7.5,w,0.4
0,7.5,w,20.000000000000014
0,7.5,w,0.30000000000000004
0,7.5,w,37.90000000000027
0,7.5,w,0.2
0,7.5,w,2.2000000000000006
0,7.5,w,6.799999999999992
0,7.5,w,0.5
0,7.5,w,1.6000000000000003
0,7.5,w,0.30000000000000004
0,7.5,w,33.70000000000021
0,7.5,w,0.2
0,7.5,w,13.899999999999967
0,7.5,w,12.79999999999997
0,7.5,w,27.900000000000126
0,7.5,w,6.999999999999991
0,7.5,w,20.100000000000016
0,7.5,w,5.1999999999999975
0,7.5,w,3.5000000000000018
0,7.5,w,9.99999999999998
0,7.5,w,0.30000000000000004
0,7.5,w,0.2
0,7.5,w,5.799999999999995
0,7.5,w,10.599999999999978
0,7.5,w,0.1
0,7.5,w,0.30000000000000004
0,7.5,w,26.400000000000105
0,7.5,w,0.7
0,7.5,w,4.6
0,7.5,w,10.999999999999977
0,7.5,w,25.800000000000097
0,7.5,w,0.1
0,7.5,w,44.600000000000364
0,7.5,w,8.399999999999986
0,7.5,w,2.800000000000001
0,7.5,w,0.2
0,7.5,w,17.899999999999984
0,7.5,w,17.899999999999984
0,7.5,w,2.3000000000000007
0,7.5,w,2.400000000000001
0,7.5,w,10.09999999999998
0,7.5,w,0.4
0,7.5,w,0.2
0,7.5,w,10.29999999999998
0,7.5,w,0.1
0,7.5,w,0.1
0,7.5,w,0.30000000000000004
0,7.533333333333333,w,0.2
0,7.533333333333333,w,34.200000000000216
0,7.5,w,18.699999999999996
0,7.533333333333333,w,10.999999999999977
0,7.533333333333333,w,0.30000000000000004
0,7.533333333333333,w,36.50000000000025
0,7.533333333333333,w,31.800000000000182
0,7.533333333333333,w,12.399999999999972
0,7.533333333333333,w,17.199999999999974
0,7.5,w,0.5
0,7.533333333333333,w,0.2
0,7.533333333333333,w,0.2
0,7.533333333333333,w,19.80000000000001
0,7.533333333333333,w,55.40000000000052
0,7.533333333333333,w,32.9000000000002
0,7.533333333333333,w,0.4
0,7.533333333333333,w,0.4
0,7.533333333333333,w,0.2
0,7.533333333333333,w,6.399999999999993
0,7.533333333333333,w,0.6
